cid,abonds,atoms,bonds,cansmi,cansmiNS,dbonds,formula,HBA1,HBA2,HBD,InChI,InChIKey,L5,logP,MR,MW,nF,s,sbonds,smarts,tbonds,title,TPSA
,6.0,43.0,45.0,nan,nan,4.0,nan,26.0,8.0,4.0,nan,nan,nan,-0.2375,95.3326,364.39622,0.0,nan,35.0,nan,0.0,nan,159.88
,12.0,47.0,48.0,nan,nan,1.0,nan,26.0,5.0,3.0,nan,nan,nan,5.5619,118.8612,581.18328,0.0,nan,35.0,nan,0.0,nan,92.78
,10.0,24.0,25.0,nan,nan,2.0,nan,13.0,6.0,0.0,nan,nan,nan,-1.0293,52.039,194.1906,0.0,nan,13.0,nan,0.0,nan,61.82
,6.0,44.0,46.0,nan,nan,3.0,nan,26.0,8.0,3.0,nan,nan,nan,-1.699,93.9023,365.40416,0.0,nan,37.0,nan,0.0,nan,162.71
,6.0,53.0,52.0,nan,nan,3.0,nan,35.0,11.0,6.0,nan,nan,nan,-1.8919,103.0457,419.45,0.0,nan,43.0,nan,0.0,nan,190.4
,6.0,33.0,33.0,nan,nan,1.0,nan,20.0,2.0,1.0,nan,nan,nan,3.0732,62.1808,206.28082,0.0,nan,26.0,nan,0.0,nan,37.3
,6.0,30.0,30.0,nan,nan,1.0,nan,18.0,2.0,1.0,nan,nan,nan,2.8272,57.3738,192.25424,0.0,nan,23.0,nan,0.0,nan,37.3
,12.0,35.0,36.0,nan,nan,1.0,nan,16.0,5.0,3.0,nan,nan,nan,5.2576,124.9082,776.87002,0.0,nan,23.0,nan,0.0,nan,92.78
,6.0,31.0,31.0,nan,nan,2.0,nan,18.0,2.0,1.0,nan,nan,nan,3.2979,62.4988,204.26494,0.0,nan,23.0,nan,0.0,nan,37.3
,12.0,35.0,36.0,nan,nan,1.0,nan,16.0,5.0,3.0,nan,nan,nan,5.2576,124.9082,776.87002,0.0,nan,23.0,nan,0.0,nan,92.78
,6.0,30.0,30.0,nan,nan,1.0,nan,18.0,2.0,1.0,nan,nan,nan,2.8192,57.3738,192.25424,0.0,nan,23.0,nan,0.0,nan,37.3
,10.0,33.0,34.0,nan,nan,3.0,nan,19.0,7.0,0.0,nan,nan,nan,0.0139,70.3165,270.224861,0.0,nan,21.0,nan,0.0,nan,88.7
,6.0,49.0,51.0,nan,nan,5.0,nan,31.0,12.0,5.0,nan,nan,nan,0.9775,113.0517,453.48936,0.0,nan,40.0,nan,0.0,nan,220.86
,0.0,56.0,55.0,nan,nan,1.0,nan,38.0,2.0,1.0,nan,nan,nan,6.3325,90.4118,284.47724,0.0,nan,54.0,nan,0.0,nan,37.3
,12.0,35.0,36.0,nan,nan,1.0,nan,15.0,5.0,2.0,nan,nan,nan,6.0662,137.3844,902.76655,0.0,nan,23.0,nan,0.0,nan,81.78
,6.0,30.0,30.0,nan,nan,1.0,nan,18.0,2.0,1.0,nan,nan,nan,2.9981,57.3738,192.25424,0.0,nan,23.0,nan,0.0,nan,37.3
,0.0,65.0,64.0,nan,nan,1.0,nan,44.0,2.0,1.0,nan,nan,nan,7.5028,104.8328,326.55698,0.0,nan,63.0,nan,0.0,nan,37.3
,6.0,44.0,46.0,nan,nan,3.0,nan,28.0,9.0,4.0,nan,nan,nan,1.0528,94.5869,365.40416,0.0,nan,37.0,nan,0.0,nan,158.26
,10.0,19.0,20.0,nan,nan,2.0,nan,8.0,6.0,0.0,nan,nan,nan,-1.0241,46.754,189.1509,0.0,nan,8.0,nan,0.0,nan,61.82
,10.0,22.0,22.0,nan,nan,2.0,nan,11.0,5.0,1.0,nan,nan,nan,-1.0397,47.1377,187.10502,0.0,nan,10.0,nan,0.0,nan,72.68
,0.0,50.0,49.0,nan,nan,1.0,nan,34.0,2.0,1.0,nan,nan,nan,5.5523,80.7978,256.42408,0.0,nan,48.0,nan,0.0,nan,37.3
,0.0,50.0,49.0,nan,nan,1.0,nan,34.0,2.0,1.0,nan,nan,nan,5.5523,80.7978,256.42408,0.0,nan,48.0,nan,0.0,nan,37.3
,0.0,62.0,61.0,nan,nan,1.0,nan,42.0,2.0,1.0,nan,nan,nan,7.1127,100.0258,312.5304,0.0,nan,60.0,nan,0.0,nan,37.3
,0.0,50.0,49.0,nan,nan,1.0,nan,34.0,2.0,1.0,nan,nan,nan,5.5523,80.7978,256.42408,0.0,nan,48.0,nan,0.0,nan,37.3
,12.0,24.0,25.0,nan,nan,0.0,nan,10.0,2.0,2.0,nan,nan,nan,4.0716,65.944,255.09672,0.0,nan,13.0,nan,0.0,nan,40.46
,6.0,62.0,63.0,nan,nan,4.0,nan,41.0,11.0,5.0,nan,nan,nan,1.1117,123.6996,466.5511,0.0,nan,53.0,nan,0.0,nan,187.36
,10.0,22.0,23.0,nan,nan,2.0,nan,11.0,6.0,0.0,nan,nan,nan,-1.0116,49.925,192.17472,0.0,nan,11.0,nan,0.0,nan,61.82
,6.0,33.0,33.0,nan,nan,1.0,nan,20.0,2.0,1.0,nan,nan,nan,3.0732,62.1808,206.28082,0.0,nan,26.0,nan,0.0,nan,37.3
,6.0,41.0,42.0,nan,nan,1.0,nan,22.0,5.0,3.0,nan,nan,nan,4.0598,126.436,782.91766,0.0,nan,35.0,nan,0.0,nan,92.78
,12.0,41.0,42.0,nan,nan,1.0,nan,22.0,5.0,3.0,nan,nan,nan,3.8776,108.7442,553.13012,0.0,nan,29.0,nan,0.0,nan,92.78
