ACC+ID	UniProtKB AC/ID 
ACC	UniProtKB AC 
ID	UniProtKB ID 
UPARC	UniParc 
NF50	UniRef50 
NF90	UniRef90 
NF100	UniRef100 
GENENAME	Gene name 
CRC64	CRC64 
EMBL_ID	EMBL/GenBank/DDBJ 
EMBL	EMBL/GenBank/DDBJ CDS 
P_ENTREZGENEID	Entrez Gene (GeneID) 
P_GI	GI number 
PIR	PIR 
REFSEQ_NT_ID	RefSeq Nucleotide 
P_REFSEQ_AC	RefSeq Protein 
PDB_ID	PDB 
BIOGRID_ID	BioGrid 
COMPLEXPORTAL_ID	ComplexPortal 
DIP_ID	DIP 
STRING_ID	STRING 
CHEMBL_ID	ChEMBL 
DRUGBANK_ID	DrugBank 
GUIDETOPHARMACOLOGY_ID	GuidetoPHARMACOLOGY 
SWISSLIPIDS_ID	SwissLipids 
ALLERGOME_ID	Allergome 
ESTHER_ID	ESTHER 
MEROPS_ID	MEROPS 
MYCOCLAP_ID	mycoCLAP 
PEROXIBASE_ID	PeroxiBase 
REBASE_ID	REBASE 
TCDB_ID	TCDB 
GLYCONNECT_ID	GlyConnect 
BIOMUTA_ID	BioMuta 
DMDM_ID	DMDM 
WORLD_2DPAGE_ID	World-2DPAGE 
CPTAC_ID	CPTAC 
PROTEOMICSDB_ID	ProteomicsDB 
DNASU_ID	DNASU 
ENSEMBL_ID	Ensembl 
ENSEMBL_PRO_ID	Ensembl Protein 
ENSEMBL_TRS_ID	Ensembl Transcript 
ENSEMBLGENOME_ID	Ensembl Genomes 
ENSEMBLGENOME_PRO_ID	Ensembl Genomes Protein 
ENSEMBLGENOME_TRS_ID	Ensembl Genomes Transcript 
GENEDB_ID	GeneDB 
P_ENTREZGENEID	GeneID (Entrez Gene) 
KEGG_ID	KEGG 
PATRIC_ID	PATRIC 
UCSC_ID	UCSC 
VECTORBASE_ID	VectorBase 
WBPARASITE_ID	WBParaSite 
ARACHNOSERVER_ID	ArachnoServer 
ARAPORT_ID	Araport 
CCDS_ID	CCDS 
CGD	CGD 
CONOSERVER_ID	ConoServer 
DICTYBASE_ID	dictyBase 
ECHOBASE_ID	EchoBASE 
EUHCVDB_ID	euHCVdb 
EUPATHDB_ID	EuPathDB 
FLYBASE_ID	FlyBase 
GENECARDS_ID	GeneCards 
GENEREVIEWS_ID	GeneReviews 
HGNC_ID	HGNC 
HPA_ID	HPA 
LEGIOLIST_ID	LegioList 
LEPROMA_ID	Leproma 
MAIZEGDB_ID	MaizeGDB 
MGI_ID	MGI 
MIM_ID	MIM 
NEXTPROT_ID	neXtProt 
ORPHANET_ID	Orphanet 
PHARMGKB_ID	PharmGKB 
POMBASE_ID	PomBase 
PSEUDOCAP_ID	PseudoCAP 
RGD_ID	RGD 
SGD_ID	SGD 
TUBERCULIST_ID	TubercuList 
VGNC_ID	VGNC 
WORMBASE_ID	WormBase 
WORMBASE_PRO_ID	WormBase Protein 
WORMBASE_TRS_ID	WormBase Transcript 
XENBASE_ID	Xenbase 
ZFIN_ID	ZFIN 
EGGNOG_ID	eggNOG 
GENETREE_ID	GeneTree 
HOGENOM_ID	HOGENOM 
KO_ID	KO 
OMA_ID	OMA 
ORTHODB_ID	OrthoDB 
TREEFAM_ID	TreeFam 
BIOCYC_ID	BioCyc 
PLANT_REACTOME_ID	PlantReactome 
REACTOME_ID	Reactome 
UNIPATHWAY_ID	UniPathway 
COLLECTF_ID	CollecTF 
DISPROT_ID	DisProt 
CHITARS_ID	ChiTaRS 
GENEWIKI_ID	GeneWiki 
GENOMERNAI_ID	GenomeRNAi 
